1>------ Derleme başladı: Proje: ALANSIS_PANEL, Yapılandırma: Debug Any CPU ------
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form8.vb(57,26): warning BC42024: Kullanılmayan yerel değişken: 'kalintix'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form8.vb(57,36): warning BC42024: Kullanılmayan yerel değişken: 'etiket'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form8.vb(57,44): warning BC42024: Kullanılmayan yerel değişken: 'etiketm'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form8.vb(57,53): warning BC42024: Kullanılmayan yerel değişken: 'stok_kod'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form8.vb(57,63): warning BC42024: Kullanılmayan yerel değişken: 'partino'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form8.vb(57,72): warning BC42024: Kullanılmayan yerel değişken: 'tip'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form8.vb(57,77): warning BC42024: Kullanılmayan yerel değişken: 'oda'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form8.vb(57,82): warning BC42024: Kullanılmayan yerel değişken: 'miktar'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form8.vb(57,90): warning BC42024: Kullanılmayan yerel değişken: 'dara'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form8.vb(57,96): warning BC42024: Kullanılmayan yerel değişken: 'brut'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form8.vb(57,102): warning BC42024: Kullanılmayan yerel değişken: 'serinum'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form8.vb(57,111): warning BC42024: Kullanılmayan yerel değişken: 'durum'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form8.vb(57,118): warning BC42024: Kullanılmayan yerel değişken: 'seri'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form8.vb(57,124): warning BC42024: Kullanılmayan yerel değişken: 'kalinti'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form8.vb(57,133): warning BC42024: Kullanılmayan yerel değişken: 'bolge'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form8.vb(57,140): warning BC42024: Kullanılmayan yerel değişken: 'islem'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form8.vb(57,147): warning BC42024: Kullanılmayan yerel değişken: 'nar_islem'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form8.vb(57,158): warning BC42024: Kullanılmayan yerel değişken: 'viyol'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(57,26): warning BC42024: Kullanılmayan yerel değişken: 'kalintix'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(57,36): warning BC42024: Kullanılmayan yerel değişken: 'etiket'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(57,44): warning BC42024: Kullanılmayan yerel değişken: 'etiketm'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(57,53): warning BC42024: Kullanılmayan yerel değişken: 'stok_kod'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(57,63): warning BC42024: Kullanılmayan yerel değişken: 'partino'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(57,72): warning BC42024: Kullanılmayan yerel değişken: 'tip'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(57,77): warning BC42024: Kullanılmayan yerel değişken: 'oda'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(57,82): warning BC42024: Kullanılmayan yerel değişken: 'miktar'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(57,90): warning BC42024: Kullanılmayan yerel değişken: 'dara'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(57,96): warning BC42024: Kullanılmayan yerel değişken: 'brut'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(57,102): warning BC42024: Kullanılmayan yerel değişken: 'serinum'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(57,111): warning BC42024: Kullanılmayan yerel değişken: 'durum'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(57,118): warning BC42024: Kullanılmayan yerel değişken: 'seri'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(57,124): warning BC42024: Kullanılmayan yerel değişken: 'kalinti'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(57,133): warning BC42024: Kullanılmayan yerel değişken: 'bolge'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(57,140): warning BC42024: Kullanılmayan yerel değişken: 'islem'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(57,147): warning BC42024: Kullanılmayan yerel değişken: 'nar_islem'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(57,158): warning BC42024: Kullanılmayan yerel değişken: 'viyol'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(191,16): warning BC42104: 'kalintix' değişkeni bir değere atanmadan önce kullanıldı. Çalışma zamanında null başvurusu özel durumu oluşabilir.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(212,16): warning BC42104: 'tip' değişkeni bir değere atanmadan önce kullanıldı. Çalışma zamanında null başvurusu özel durumu oluşabilir.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(227,38): warning BC42104: 'etiket' değişkeni bir değere atanmadan önce kullanıldı. Çalışma zamanında null başvurusu özel durumu oluşabilir.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(238,43): warning BC42104: 'miktar' değişkeni bir değere atanmadan önce kullanıldı. Çalışma zamanında null başvurusu özel durumu oluşabilir.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(239,44): warning BC42104: 'dara' değişkeni bir değere atanmadan önce kullanıldı. Çalışma zamanında null başvurusu özel durumu oluşabilir.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(240,44): warning BC42104: 'brut' değişkeni bir değere atanmadan önce kullanıldı. Çalışma zamanında null başvurusu özel durumu oluşabilir.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(242,45): warning BC42104: 'nar_islem' değişkeni bir değere atanmadan önce kullanıldı. Çalışma zamanında null başvurusu özel durumu oluşabilir.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(244,47): warning BC42104: 'kalinti' değişkeni bir değere atanmadan önce kullanıldı. Çalışma zamanında null başvurusu özel durumu oluşabilir.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(314,24): warning BC42104: 'etiketm' değişkeni bir değere atanmadan önce kullanıldı. Çalışma zamanında null başvurusu özel durumu oluşabilir.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(321,48): warning BC42104: 'stok_kod' değişkeni bir değere atanmadan önce kullanıldı. Çalışma zamanında null başvurusu özel durumu oluşabilir.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(322,47): warning BC42104: 'partino' değişkeni bir değere atanmadan önce kullanıldı. Çalışma zamanında null başvurusu özel durumu oluşabilir.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(149,102): warning BC42024: Kullanılmayan yerel değişken: 'serinum'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(149,111): warning BC42024: Kullanılmayan yerel değişken: 'durum'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(149,118): warning BC42024: Kullanılmayan yerel değişken: 'seri'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(150,13): warning BC42024: Kullanılmayan yerel değişken: 'sBuf'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(151,13): warning BC42024: Kullanılmayan yerel değişken: 'sTemp'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(152,13): warning BC42024: Kullanılmayan yerel değişken: 'iFileNum'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(153,13): warning BC42024: Kullanılmayan yerel değişken: 'sFileName'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(154,13): warning BC42024: Kullanılmayan yerel değişken: 'soru'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form20.vb(154,19): warning BC42024: Kullanılmayan yerel değişken: 'indeks'.
1>C:\data\ALANSIS_PANEL\ALANSIS_PANEL\Form8.vb(197,16): warning BC42104: 'kalintix' değişkeni bir değere atanmadan önce kullanıldı. Çalışma zamanında null başvurusu özel durumu oluşabilir.
